"T DMSO","P DMSO","T MIX","P MIX","RR1","RR2","PURITY","SIMRES"
"310","1.5","325","1","0.75","0.75","0.984627516","Warnings"
"310","1.5","325","1","0.75","1","0.9846249","Warnings"
"310","1.5","325","1","0.75","1.25","0.98462536","Warnings"
"310","1.5","325","1","1","0.5","0.994921962","Warnings"
"310","1.5","325","1","1","0.75","0.994921187","Warnings"
"310","1.5","325","1","1","1","0.994921144","Warnings"
"310","1.5","325","1","1","1.25","0.994921144","Warnings"
"310","1.5","325","1","1.25","0.5","0.995731092","Warnings"
"310","1.5","325","1","1.25","0.75","0.995729905","Warnings"
"310","1.5","325","1","1.25","1","0.995730011","Warnings"
"310","1.5","325","1","1.25","1.25","0.995729999","Warnings"
"310","1.5","325","1.5","0.5","0.5","0.950136107","Warnings"
"310","1.5","325","1.5","0.5","0.75","0.95013192","Warnings"
